year,Class,F,M
15-64,RCCADB1,2.25,2.25
15-64,RCCADB2,3.0,3.0
15-64,RCCADB3,3.75,3.75
15-64,RCCADD1,3.0,3.0
15-64,RCCADD2,4.0,4.0
15-64,RCCADD3,5.0,5.0
15-64,RCCADD4,6.0,6.0
16-64,RCCAI1,6.25,6.25
16-64,RCCAI2,7.25,7.25
16-64,RCCAI3,8.25,8.25
16-64,RCCAI4,10.25,10.25
