year,Class,F,M
15ถึง15,CLT,0.46,0.65
16ถึง20,CLT,1.04,0.57
21ถึง25,CLT,2.02,0.66
26ถึง30,CLT,2.68,1.14
31ถึง35,CLT,3.51,1.65
36ถึง40,CLT,3.26,2.52
41ถึง45,CLT,3.82,7.07
46ถึง50,CLT,5.34,12.52
51ถึง55,CLT,8.25,23.25
56ถึง60,CLT,12.14,35.62
61ถึง65,CLT,14.97,44.95
66ถึง70,CLT,20.5,59.23
71ถึง75,CLT,25.72,68.73
76ถึง80,CLT,28.32,70.72
81ถึง85,CLT,34.04,78.68
86ถึง90,CLT,44.52,102.93
91ถึง95,CLT,59.59,137.74
96ถึง98,CLT,75.05,173.51
