year,Class,F,M
15-5,TPD,0.08,0.1
16-20,TPD,0.08,0.23
21-25,TPD,0.09,0.28
26-30,TPD,0.1,0.31
31-35,TPD,0.12,0.36
36-40,TPD,0.16,0.46
41-45,TPD,0.24,0.61
46-50,TPD,0.36,0.87
51-55,TPD,0.55,1.25
56-60,TPD,0.91,1.86
6-15,TPD,0.06,0.08
61-65,TPD,1.58,2.98
66-70,TPD,3.01,5.03
71-75,TPD,6.01,8.78
76-79,TPD,10.38,14.06
