year,Class,F,M
16-55,career1to2,150.0,150.0
16-55,career3,187.0,187.0
16-55,career4,225.0,225.0
56-59,career1to2,150.0,150.0
56-59,career3,187.0,187.0
56-59,career4,225.0,225.0
6-15,career0,90.0,90.0
