year,Class,F,M
15-15,CFC,119.51,119.51
16-20,CFC,139.33,135.16
21-25,CFC,182.5,155.84
26-30,CFC,253.4,189.26
31-35,CFC,375.68,253.51
36-40,CFC,462.17,386.81
41-45,CFC,669.69,512.13
46-50,CFC,921.1,800.92
51-55,CFC,1247.1,1282.87
56-60,CFC,1774.95,1869.36
61-65,CFC,2115.73,2876.04
66-70,CFC,3143.33,4676.21
71-75,CFC,3834.44,6152.96
76-79,CFC,4591.68,7639.52
